Name;URL;Location;Country;Industries;Industry Group;Description;Full Description or Description;Dealership;AV terminology;Transport ;Mobility;Status;Triangulation?;Layer_Member;Testing Layer
Zoox;www.zoox.com/;Foster City;United States;Autonomous Vehicles, Machine Learning, Robotics, Transportation;Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation;Zoox is an AI robotics company that provides mobility as-a-service and self-driving car services.;Zoox is a California based robotics company founded by Tim Kentley-Klay and Dr. Jesse Levinson to create autonomous mobility. Operating at the intersection of design, computer science, and electro-mechanical engineering, Zoox is a multidisciplinary team working to imagine and build an advanced mobility experience that will support the future needs of urban mobility for both people and the environment.;False;True;False;False;Active;AV;L2 SAV;
udelv;www.udelv.com/;Burlingame;United States;Autonomous Vehicles;Transportation;udelv enables the growth of commerce by automating delivery.;udelv is revolutionizing transportation with an autonomous vehicle built specifically for last- and middle-mile delivery. With thousands of deliveries already completed, udelv’s end-to-end autonomous delivery solution fits seamlessly into any business to reinvent delivery.;False;True;True;False;Active;AV;L2 ATV;
Einride;www.einride.tech;Stockholm;Sweden;Autonomous Vehicles, Electric Vehicle, Logistics, Transportation;Transportation;Einride is a freight technology company providing digital, electric, and autonomous shipping.;Einride is a freight technology company providing digital, electric, and autonomous shipping. It was founded in 2016 and became the world’s first company to operate an autonomous, electric freight vehicle on a public road in 2019. Einride´s award-winning technology and products enable users to execute on electrification and automation, order and track shipments, oversee routes and assignments, visualize data and gain insights.;False;True;True;False;Active;AV;L2 ATV;
Starship Technologies;www.starship.xyz/;San Francisco;United States;;Artificial Intelligence (AI);Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Hardware, Science and Engineering, Software, Transportation;Starship Technologies is a robotics company building fleets of self-driving delivery robots designed to deliver goods.;False;True;True;False;Starship Technologies is a robotics company building fleets of self-driving delivery robots designed to deliver goods locally within 30 minutes. The robots drive autonomously 99% of the time to make safe and environmentally friendly curb-side deliveries from a local hub. They also offering people convenient new services that improve everyday life. Starships Technologies robots are equipped with a sensor suite that includes cameras, GPS, and inertial measurement units. The company's aim is to fundamentally reshape how goods are shipped and delivered, and make local delivery, ultimately, free. It also enables a new era of instant delivery that works around your schedule at much lower costs. Starships Technologies was founded in 2014 and is headquartered in San Francisco, California.;Orsay;L2 ATV;
Delivers AI;delivers.ai/;Istanbul;Turkey;Artificial Intelligence (AI), Autonomous Vehicles, Delivery Service, Robotics;Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation;Delivers.ai designs ways to autonomously deliver food, groceries, and parcels from shops to doorsteps.;Delivers.ai designs ways to autonomously deliver food, groceries, and parcels from shops to doorsteps. The company works with online order platforms and dark kitchens and stores to empower local delivery to be faster, smarter, risk-free, and cost-efficient. Delivers AI develops a unique set of camera-based autonomous technologies that are scalable and broadly deployable. The company's technology significantly reduces the expenses of production and operations.;False;True;True;False;Active;AV;L2 ATV;
Cartken;www.cartken.com/;Oakland;United States;-;Transportation;Cartken is a delivery robot developer that specializes in transporting items over small distances and within neighborhoods.;Cartken is a delivery robot developer that specializes in transporting items over small distances and within neighborhoods. The company's robots are outfitted with several sensors and cameras that allow them to stop on a dime to prevent collisions and choose the least hazardous routes. They also provide a quick deploy option that does not require integration, making it extremely simple to get started.;False;False;False;False;Active;Neckermann;L2 ATV;
Waymo;www.waymo.com;Mountain View;United States;;Automotive;Hardware, Software, Transportation;Waymo improves transportation by developing self-driving technology developed in Google’s labs.;False;True;True;False;Waymo stands for a new way forward in mobility. it is a self-driving technology company with a mission to make it safe and easy for people and things to move around. Waymo improves transportation by building software and sensor technology developed in Google’s labs since 2009. In October 2015, they achieved the world’s first fully self-driving trip on public roads, in a car without a steering wheel or pedals. They refine Waymo technology through one billion miles of simulation testing each year, and the cars have self-driven over two million miles on public roads across four U.S. cities.;Orsay;L1 SAV;
Cruise;www.getcruise.com;San Francisco;United States;Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Robotics, Transportation;Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation;Cruise builds self-driving vehicles that safely connect people to places, things, and experiences they care about.;j;False;False;False;False;Active;AV;L1 SAV;
AutoX;www.autox.ai/;San Jose;United States;Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Transportation, Travel;Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation, Travel and Tourism;AutoX is a self-driving car startup that offers AI drivers to enable universal access to transportation for the people.;AutoX is a self-driving car startup that offers AI drivers to enable universal access to transportation for the people.;False;True;True;False;Active;AV;L1 SAV;
Motional;motional.com/;Boston;United States;Automotive, Autonomous Vehicles, Fleet Management, Information Technology, Software;Information Technology, Software, Transportation;Motional is a developer of driverless technology.;Motional is a developer of driverless technology. It also offers an autonomous driving platform for robotaxi providers, fleet operators, and automotive manufacturers.;False;True;False;False;Active;https://research.frost.com/assets/1/f0a502e4-4463-11e8-b626-1aa9f74f20ad/f4fb3b7c-f081-11ed-833c-16d5f5103637/research?eui=b1d60792-692f-11ee-b798-8e13cab8025c&augSearchTerm=shared%20autonomous%20vehicle&pagename=home&ssokey=&loginas=false&sessionId=4328_1701015445470_gtmdp5zEBP7UN3c5jczL&tkn=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImVpbm8uc2NodWx6ZS1zdGVpbmVuQHN0dWRlbnQudW5pc2cuY2giLCJ0ZXVzZXJpZCI6NzY1NjEsInRlbmFudHVzZXJpZCI6NDMyOCwiaWF0IjoxNzAxMDE1NDI3LCJleHAiOjE3MDExMDE4Mjd9.0GEAIQ4r7zLyYEUAPg_apJ9PyMvFnhG-c2nUunARn3k;L1 SAV;
Pony.ai;www.pony.ai;Fremont;United States;Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Transportation;Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation;Pony.ai develops autonomous vehicle technology using artificial intelligence.;Pony.ai is a startup that builds full-stack autonomous driving solutions. It is a pioneer in autonomous mobility technologies and services across the US and China, spearheading public-facing Robotaxi pilots in both markets. Pony.ai is committed to creating a safe and sustainable mobility future by delivering autonomous mobility everywhere. The company was founded by James Peng and Tiancheng Lou in 2016 and is headquartered in Fremont, California, United States.;False;True;False;True;Active;AV;L1 SAV;
Wayve;wayve.ai;London;United Kingdom;Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning, Software;Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation;Wayve uses end-to-end deep learning to develop artificial intelligence capable of complex driving.;Wayve develops a full autonomous driving system which is data-driven at every layer, learning to drive. It uses end-to-end deep learning to develop artificial intelligence capable of complex driving, which can scale across diverse urban environments. Founded in 2017, Wayve operates a fleet of electric vehicles fitted for autonomous operation and technology development. It is headquartered in London, United Kingdom.;False;True;False;False;Active;AV;L1 SAV;
Oxa;oxa.tech/;;United Kingdom;Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Software;Artificial Intelligence (AI);Oxa specializes in developing autonomous vehicle technology.;Oxa specializes in developing autonomous vehicle technology. It builds self-driving software and services that enable customers to deploy and benefit from autonomy in their operations sooner.;Active;True;False;False;Active;Crunchbase;L1 SAV;
TuSimple;www.tusimple.com;San Diego;United States;Autonomous Vehicles, Electric Vehicle, Last Mile Transportation, Machine Learning, Transportation;Artificial Intelligence (AI), Data and Analytics, Software, Transportation;TuSimple is a self-driving truck company developing technology that allows them to drive from depot-to-depot without human intervention.;TuSimple is a self-driving truck company developing a technology that allows driving from depot to depot without human intervention. The company's trucks are capable of self-driving from depot to depot and do so every day for its customers. It develops a commercial-ready Level 4 (SAE) fully autonomous driving solution for the logistics industry. The company is driven by a mission to increase safety, decrease transportation costs, and reduce carbon emissions. In 2015, Jianan Hao, Mo Chen, and Xiaodi Hou headquartered the company in San Diego, California.;False;True;True;False;Active;AV;L1 ATV;
Waabi;waabi.ai;Toronto;Canada;Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Transportation;Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation;Waabi is an artificial intelligence (AI) company that commercializes driverless trucks.;"Waabi is an artificial intelligence (AI) company that commercializes driverless trucks. Waabi is bringing the promise of self-driving closer to commercialization than ever before, thanks to its innovative approach that unleashes the power of AI to ""drive"" safely in the real world. The company was founded in 2021 by Raquel Urtasun and is based in Toronto, Canada.";False;True;True;False;Active;AV;L1 ATV;
Kodiak Robotics;www.kodiak.ai;Mountain View;United States;Autonomous Vehicles, Logistics, Robotics, Software, Transportation;Hardware, Science and Engineering, Software, Transportation;Kodiak Robotics develops autonomous technology for long-haul trucking.;Kodiak Robotics develops autonomous technology for long-haul trucking. It specializes in the fields of autonomous vehicles, information technology, software, logistics, and robotics. It was founded in 2018 and headquartered in Mountain View, California.;False;True;True;False;Active;AV;L1 ATV;
Plus;plus.ai;Santa Clara;United States;Artificial Intelligence (AI), Autonomous Vehicles, Logistics, Transportation;Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation;Plus develops self-driving trucks to enable large-scale commercialization of autonomous transport.;Plus is a global provider of highly automated driving and fully autonomous driving solutions with headquarters in Silicon Valley, California, and operations in the U.S. and Germany. Named by Forbes as one of America’s Best Startup Employers and by Fast Company as one of the World’s Most Innovative Companies, Plus’s open autonomy technology platform is already powering vehicles in commercial use today. Working with leading vehicle manufacturers, fleets, and other technology companies globally, Plus is helping to make driving safer, more comfortable, and more sustainable. Plus has received a number of industry awards and distinctions for its transformative technology and business momentum from Fast Company, Forbes, Insider, Consumer Electronics Show, AUVSI, and others.;False;True;False;True;Active;AV;L1 ATV;
Gatik;www.gatik.ai/;Mountain View;United States;Artificial Intelligence (AI), Automotive, Autonomous Vehicles;Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation;Gatik is developing technology for autonomous light & medium duty trucks for B2B short-haul logistics.;Gatik is a startup developing technology for autonomous light & medium duty trucks for B2B short-haul logistics. It specializes in the fields of artificial intelligence, automotive, and logistics. It was founded in 2017 and headquartered in Mountain View, California.;False;True;True;False;Active;AV;L1 ATV;
Aurora;aurora.tech;Pittsburgh;United States;Automotive, Autonomous Vehicles, Electric Vehicle, InsurTech, Transportation;Financial Services, Transportation;Aurora is building self-driving technology to operate multiple vehicle types, from freight-hauling trucks to ride-hailing passenger ones.;"Aurora is a self-driving vehicle company providing a platform that brings software and data services to operate passenger vehicles. To move both people and goods, the company develops Aurora Driver, a platform that brings together software, hardware, and data services to operate passenger vehicles, light commercial vehicles, and heavy-duty trucks. Aurora is backed by Amazon and Sequoia, among others, and partners with industry leaders including Toyota, Uber, Volvo, and Paccar. Aurora tests its vehicles in the Bay Area, Pittsburgh, and Dallas. The company has offices in those areas as well as in Bozeman, MT; Seattle, WA; Louisville, CO; and Wixom, MI.";False;True;True;False;Active;AV;L1 ATV;
Embark Trucks;embarktrucks.com;San Francisco;United States;Automotive, Autonomous Vehicles, Logistics, Software, Transportation;Software, Transportation;Embark develops self-driving truck technology designed for freight and logistic services.;Embark develops self-driving truck technology designed for freight and logistic services. Embark has compiled many firsts for automated trucks, including driving across the country, operating in rain and fog, and navigating between transfer hubs. Embark is assembling a group of engineers from companies like Tesla, Google, Audi, and NASA with a professional operations team that averages over a million miles per driver.;False;True;True;False;Active;AV;L1 ATV;
Kodiak;kodiakptt.com;Plano;United States;Robotics;Hardware, Science and Engineering, Software;Kodiak is a telecommunications company offering PTT software and solutions.;Kodiak is a telecommunications company offering PTT software and solutions.;False;False;False;False;;Orsay;L1 ATV;
ADASTEC Corp.;www.adastec.com;Ann Arbor;United States;Artificial Intelligence (AI);Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software;Autonomous Driving Software Company;ADASTEC delivers the most advanced Level-4 automation platform for full-size buses and coaches currently available. The ADASTEC Open Automated Bus Platform called “flowride.ai” is designed for large-scale public transport along pre-defined routes on public roads. “flowride.ai” allows OEMs to build the best-automated bus configurations for the needs of public transportation operators.;False;False;False;False;;CB;L1 ATV;
Dealership Warranties;www.dealershipwarranties.net;Maryland Heights;United States;Automotive, Autonomous Vehicles, Consumer;Other, Transportation;Dealership Warranties is an autonomous vehicles company located in Maryland Heights.;Dealership Warranties is an autonomous vehicles company located in Maryland Heights.;True;True;False;False;Active;AV;;
DWG Motors;www.deltawebconsulting.com/dwg-motors;Chicago;United States;Automotive, Autonomous Vehicles, Electric Vehicle;Transportation;Most innovative automotive brand of CEE;"DWG Motors is a global automotive trademark aimed at creating and bringing premium technologies standards for mass vehicle production. We are most innovative and dynamic automotive and urban transportation systems development brand of CEE region; concept design studios, R&Ds and full cycle 4.0 industry oriented manufacturer mainly focusing on autonomous CVT hybrid, all-electric & hydrogen FC vehicles, specific automotive equipment & automated production lines in Ukraine, the CEE and around the world. Our major area of expertise includes Sedans/SUVs/Trucks/MPVs, VANs and urban eco transport manufacturing covering full scale logistics and global dealership distribution network.";True;True;True;False;Active;AV;;
Safamotor Group;www.gruposafamotor.com;Es;Belgium;Automotive, Autonomous Vehicles;Transportation;Safamotor Group is a dealer of autonomous vehicles from various brands such as Volkswagen, Seat, Skoda, Audi, BMW, BMW and many more.;Safamotor Group is a dealer of autonomous vehicles from various brands such as Volkswagen, Seat, Skoda, Audi, BMW, BMW and many more.;True;True;False;False;Active;AV;;
Aci Development Corporation;www.aci-development.com;Ponte Vedra;United States;Automotive, Autonomous Vehicles, Business Development, Sales;Professional Services, Sales and Marketing, Transportation;Aci Development Corporation is an automotive-based firm providing auto dealership development & profit building services.;Aci Development Corporation is an automotive-based firm providing auto dealership development & profit building services.;True;False;False;False;Active;AV;;
Acura Of Boardman;www.acuraofboardman.com;Boardman;United States;Automotive, Autonomous Vehicles, Finance;Financial Services, Transportation;Acura Of Boardman is an automobile dealership company that offers new and used inventory of cars and servicing and repair of vehicles.;Acura Of Boardman is an automobile dealership company that offers new and used inventory of cars and servicing and repair of vehicles.;True;False;False;False;Active;AV;;
Adriacar;www.adriacar.it/;Sambuceto;Italy;Automotive, Autonomous Vehicles, Commercial, Finance, Sales;Financial Services, Other, Sales and Marketing, Transportation;Adriacar is an automotive dealership company that provides the sale of cars, commercial vehicles, spare parts, and financing services.;Adriacar is an automotive dealership company that provides the sale of cars, commercial vehicles, spare parts, and financing services.;True;False;False;False;Active;AV;;
Agnew Group;www.agnewcars.com/;Belfast;United Kingdom;Automotive, Autonomous Vehicles, Car Sharing, Logistics, Marketing Automation;Sales and Marketing, Software, Transportation;The Agnew Group is a leading motor vehicle retailer group in Northern Ireland.;The Agnew Group is a leading motor vehicle retailer group in Northern Ireland, whilst also being one of the UK’s top 25 franchised dealers. Established in 1931 their reputation and wealth of experience is second to none with friendly and professional staff who are dedicated to providing an outstanding customer service. In January 2012 the Agnew Group became part of the Sytner Group of companies, the UK’ s second largest motor retailer who are owned by the Penske Corporation, USA.;True;False;False;False;Active;AV;;
Al Piemonte Ford Sales;www.apford.com/;Melrose Park;United States;Automotive, Autonomous Vehicles, Technical Support;Information Technology, Other, Transportation;Al Piemonte Ford Sales is an official car dealer and service provider of Ford vehicles.;Al Piemonte Ford Sales is an official car dealer and service provider of Ford vehicles.;True;False;False;False;Active;AV;;
Alan Webb Mazda;www.alanwebbmazda.com/;Vancouver;United States;Automotive, Autonomous Vehicles, Finance;Financial Services, Transportation;Alan Webb Mazda is an automotive dealership firm that sells pre-owned and new cars and also arranges financing options.;Alan Webb Mazda is an automotive dealership firm that sells pre-owned and new cars and also arranges financing options.;True;False;False;False;Active;AV;;
Alliance Service Group;allianceautomotiveservice.com/;Farmington Hills;United States;Automotive, Autonomous Vehicles, Parking;Transportation;Alliance Service Group focuses in offering entire service drive experiences to vehicle dealerships.;Alliance Service Group focuses in offering entire service drive experiences to vehicle dealerships.;True;False;False;False;Active;AV;;
Allports Group;www.allportsgroup.co.uk;Lichfield;United Kingdom;Automotive, Autonomous Vehicles, Transportation;Transportation;Allports Group is an automotive company that offers truck dealerships, rental, and contract hire services.;Allports Group is an automotive company that offers truck dealerships, rental, and contract hire services.;True;False;False;False;Active;AV;;
Aloha Kia;www.alohakia.com/;Honolulu;United States;Automotive, Autonomous Vehicles, Shopping;Commerce and Shopping, Transportation;Aloha Kia is a dealer selling and buying used and new cars as well as offers services and repairs of parts.;Aloha Kia is a dealer selling and buying used and new cars as well as offers services and repairs of parts.;True;False;False;False;Active;AV;;
AMEL;amel.fr/en/home/;Périgny;France;Autonomous Vehicles, Boating, Industrial;Manufacturing, Sports, Transportation;AMEL is a boat dealership store that specializes in sailing yachts as well as offers repair and maintenance services.;AMEL is a boat dealership store that specializes in sailing yachts as well as offers repair and maintenance services.;True;False;False;False;Active;AV;;
Anders Petersen Automobiler;www.apabiler.dk;Risskov;Denmark;Automotive, Autonomous Vehicles, Sales;Sales and Marketing, Transportation;Anders Petersen Automobiler is an automotive company that deals in the sales of new and old cars and also carries out repairs.;Anders Petersen Automobiler is an automotive company that deals in the sales of new and old cars and also carries out repairs.;True;False;False;False;Active;AV;;
